n,m,dims,k,time_dist,time_sort,serial_parallel,distance_function,sort_function
10000,150,2,5,0.014389,0.023500,parallel,euclidean,quick
10000,250,2,5,0.068829,0.361480,serial,euclidean,quick
10000,250,2,5,0.025248,0.029773,parallel,euclidean,quick
10000,350,2,5,0.090189,0.490865,serial,euclidean,quick
10000,350,2,5,0.024006,0.037616,parallel,euclidean,quick
10000,450,2,5,0.121542,0.673533,serial,euclidean,quick
10000,450,2,5,0.027860,0.049034,parallel,euclidean,quick
15000,50,2,5,0.022151,0.124651,serial,euclidean,quick
15000,50,2,5,0.004799,0.019758,parallel,euclidean,quick
15000,150,2,5,0.056626,0.317177,serial,euclidean,quick
15000,150,2,5,0.012491,0.029108,parallel,euclidean,quick
15000,250,2,5,0.100232,0.549205,serial,euclidean,quick
15000,250,2,5,0.020911,0.040053,parallel,euclidean,quick
15000,350,2,5,0.131038,0.742413,serial,euclidean,quick
15000,350,2,5,0.039888,0.057619,parallel,euclidean,quick
15000,450,2,5,0.186406,1.058081,serial,euclidean,quick
15000,450,2,5,0.047542,0.071146,parallel,euclidean,quick
20000,50,2,5,0.033109,0.190767,serial,euclidean,quick
20000,50,2,5,0.006469,0.021348,parallel,euclidean,quick
20000,150,2,5,0.100795,0.451809,serial,euclidean,quick
20000,150,2,5,0.025023,0.036628,parallel,euclidean,quick
20000,250,2,5,0.165883,0.832042,serial,euclidean,quick
20000,250,2,5,0.030206,0.063618,parallel,euclidean,quick
20000,350,2,5,0.177245,1.207776,serial,euclidean,quick
20000,350,2,5,0.045744,0.082863,parallel,euclidean,quick
20000,450,2,5,0.301391,1.370434,serial,euclidean,quick
20000,450,2,5,0.052548,0.091116,parallel,euclidean,quick
25000,50,2,5,0.041378,0.236985,serial,euclidean,quick
25000,50,2,5,0.011097,0.020826,parallel,euclidean,quick
25000,150,2,5,0.125077,0.635178,serial,euclidean,quick
25000,150,2,5,0.023422,0.046028,parallel,euclidean,quick
25000,250,2,5,0.208980,1.101160,serial,euclidean,quick
25000,250,2,5,0.032751,0.073215,parallel,euclidean,quick
25000,350,2,5,0.258680,1.369177,serial,euclidean,quick
25000,350,2,5,0.092649,0.095902,parallel,euclidean,quick
25000,450,2,5,0.369072,1.821052,serial,euclidean,quick
25000,450,2,5,0.054699,0.119483,parallel,euclidean,quick
30000,50,2,5,0.049411,0.286278,serial,euclidean,quick
30000,50,2,5,0.008494,0.024008,parallel,euclidean,quick
30000,150,2,5,0.148841,0.680859,serial,euclidean,quick
30000,150,2,5,0.024422,0.051459,parallel,euclidean,quick
30000,250,2,5,0.251305,1.235761,serial,euclidean,quick
30000,250,2,5,0.079804,0.082241,parallel,euclidean,quick
30000,350,2,5,0.288306,1.681077,serial,euclidean,quick
30000,350,2,5,0.051127,0.108561,parallel,euclidean,quick
30000,450,2,5,0.426658,2.231627,serial,euclidean,quick
30000,450,2,5,0.060371,0.131592,parallel,euclidean,quick
10000,50,2,5,0.008439,0.090268,serial,manhattan,quick
10000,50,2,5,0.005484,0.013176,parallel,manhattan,quick
10000,150,2,5,0.026822,0.243755,serial,manhattan,quick
10000,150,2,5,0.018491,0.023448,parallel,manhattan,quick
10000,250,2,5,0.043538,0.398795,serial,manhattan,quick
10000,250,2,5,0.025248,0.039384,parallel,manhattan,quick
10000,350,2,5,0.059721,0.601292,serial,manhattan,quick
10000,350,2,5,0.026500,0.043151,parallel,manhattan,quick
10000,450,2,5,0.076911,0.665658,serial,manhattan,quick
10000,450,2,5,0.031726,0.052705,parallel,manhattan,quick
15000,50,2,5,0.013100,0.140438,serial,manhattan,quick
15000,50,2,5,0.005224,0.014504,parallel,manhattan,quick
15000,150,2,5,0.038608,0.376432,serial,manhattan,quick
15000,150,2,5,0.018189,0.039587,parallel,manhattan,quick
15000,250,2,5,0.048644,0.528434,serial,manhattan,quick
15000,250,2,5,0.026310,0.046862,parallel,manhattan,quick
15000,350,2,5,0.078090,0.815781,serial,manhattan,quick
15000,350,2,5,0.031786,0.069824,parallel,manhattan,quick
15000,450,2,5,0.117689,0.987216,serial,manhattan,quick
15000,450,2,5,0.039612,0.069188,parallel,manhattan,quick
20000,50,2,5,0.016782,0.182327,serial,manhattan,quick
20000,50,2,5,0.007584,0.024808,parallel,manhattan,quick
20000,150,2,5,0.051990,0.474770,serial,manhattan,quick
20000,150,2,5,0.018927,0.042200,parallel,manhattan,quick
20000,250,2,5,0.084884,0.830347,serial,manhattan,quick
20000,250,2,5,0.023809,0.058074,parallel,manhattan,quick
20000,350,2,5,0.118771,1.142247,serial,manhattan,quick
20000,350,2,5,0.036585,0.082821,parallel,manhattan,quick
20000,450,2,5,0.152650,1.487769,serial,manhattan,quick
20000,450,2,5,0.049404,0.103407,parallel,manhattan,quick
25000,50,2,5,0.018013,0.211123,serial,manhattan,quick
25000,50,2,5,0.008009,0.022953,parallel,manhattan,quick
25000,150,2,5,0.063781,0.626596,serial,manhattan,quick
25000,150,2,5,0.024375,0.049208,parallel,manhattan,quick
25000,250,2,5,0.107426,0.941549,serial,manhattan,quick
25000,250,2,5,0.039355,0.072852,parallel,manhattan,quick
25000,350,2,5,0.147627,1.478984,serial,manhattan,quick
25000,350,2,5,0.038968,0.094743,parallel,manhattan,quick
25000,450,2,5,0.189792,1.798909,serial,manhattan,quick
25000,450,2,5,0.047632,0.119955,parallel,manhattan,quick
30000,50,2,5,0.026435,0.300450,serial,manhattan,quick
30000,50,2,5,0.008409,0.029040,parallel,manhattan,quick
30000,150,2,5,0.075584,0.725659,serial,manhattan,quick
30000,150,2,5,0.025057,0.058955,parallel,manhattan,quick
30000,250,2,5,0.126834,1.134861,serial,manhattan,quick
30000,250,2,5,0.031229,0.081899,parallel,manhattan,quick
30000,350,2,5,0.176204,1.863036,serial,manhattan,quick
30000,350,2,5,0.040252,0.123263,parallel,manhattan,quick
30000,450,2,5,0.229871,2.206128,serial,manhattan,quick
30000,450,2,5,0.057401,0.127614,parallel,manhattan,quick
10000,50,2,5,0.017028,0.141010,serial,euclidean,merge
10000,50,2,5,0.007079,0.015529,parallel,euclidean,merge
10000,150,2,5,0.050822,0.379988,serial,euclidean,merge
10000,150,2,5,0.014799,0.037253,parallel,euclidean,merge
10000,250,2,5,0.084096,0.557762,serial,euclidean,merge
10000,250,2,5,0.021702,0.048314,parallel,euclidean,merge
10000,350,2,5,0.117386,0.894403,serial,euclidean,merge
10000,350,2,5,0.026302,0.074735,parallel,euclidean,merge
10000,450,2,5,0.150943,1.103346,serial,euclidean,merge
10000,450,2,5,0.035691,0.086081,parallel,euclidean,merge
15000,50,2,5,0.025182,0.231387,serial,euclidean,merge
15000,50,2,5,0.008262,0.026427,parallel,euclidean,merge
15000,150,2,5,0.075308,0.541985,serial,euclidean,merge
15000,150,2,5,0.025484,0.043963,parallel,euclidean,merge
15000,250,2,5,0.123854,0.899141,serial,euclidean,merge
15000,250,2,5,0.030210,0.062287,parallel,euclidean,merge
15000,350,2,5,0.175043,1.179164,serial,euclidean,merge
15000,350,2,5,0.039091,0.092765,parallel,euclidean,merge
15000,450,2,5,0.225264,1.522911,serial,euclidean,merge
15000,450,2,5,0.043892,0.131950,parallel,euclidean,merge
20000,50,2,5,0.034573,0.266613,serial,euclidean,merge
20000,50,2,5,0.012190,0.022543,parallel,euclidean,merge
20000,150,2,5,0.100722,0.715729,serial,euclidean,merge
20000,150,2,5,0.023140,0.060162,parallel,euclidean,merge
20000,250,2,5,0.170608,1.270386,serial,euclidean,merge
20000,250,2,5,0.034937,0.089196,parallel,euclidean,merge
